date,symbol,entry_time,exit_time,entry,exit,qty,pnl,rr
2026-02-26,CIPLA.NS,2026-02-26 09:35:00+00:00,2026-02-26 09:45:00+00:00,1358.78,1357.0999755859375,30,-50.40073242187418,1.75
2026-02-26,EICHERMOT.NS,2026-02-26 09:35:00+00:00,2026-02-27 03:45:00+00:00,8198.6,8180.0,2,-37.20000000000073,1.75
2026-02-26,MAXHEALTH.NS,2026-02-26 09:35:00+00:00,2026-02-27 03:45:00+00:00,1110.35,1108.0,16,-37.59999999999855,1.75
2026-02-26,SHRIRAMFIN.NS,2026-02-26 09:35:00+00:00,2026-02-27 03:45:00+00:00,1104.85,1101.699951171875,11,-34.650537109374,1.75
2026-02-24,TATACONSUM.NS,2026-02-24 09:35:00+00:00,2026-02-24 09:55:00+00:00,1179.19,1176.300048828125,13,-37.56936523437571,1.75
2026-02-24,TATACONSUM.NS,2026-02-24 09:55:00+00:00,2026-02-25 03:55:00+00:00,1179.69,1176.0,9,-33.21000000000049,1.75
2026-02-26,TMPV.NS,2026-02-26 09:35:00+00:00,2026-02-26 09:45:00+00:00,390.7,392.1874893188476,46,68.42450866699062,1.75
2026-02-26,TMPV.NS,2026-02-26 09:45:00+00:00,2026-02-26 09:55:00+00:00,392.49,391.6000061035156,60,-53.399633789063046,1.75
2026-02-26,TATASTEEL.NS,2026-02-26 09:35:00+00:00,2026-02-26 09:50:00+00:00,215.84,215.4100036621093,142,-61.059479980469234,1.75
2026-02-26,TATASTEEL.NS,2026-02-26 09:55:00+00:00,2026-02-27 04:20:00+00:00,215.74,215.009994506836,58,-42.34031860351615,1.75
2026-04-10,HINDALCO.NS,2026-04-10 09:35:00+00:00,2026-04-10 09:50:00+00:00,993.3,991.1500244140624,18,-38.69956054687418,1.75
2026-04-08,INFY.NS,2026-04-08 09:40:00+00:00,2026-04-08 09:50:00+00:00,1348.67,1346.0,15,-40.05000000000109,1.75
2026-04-07,TECHM.NS,2026-04-07 09:40:00+00:00,2026-04-07 09:50:00+00:00,1475.54,1472.699951171875,14,-39.76068359374949,1.75
2026-04-07,WIPRO.NS,2026-04-07 09:35:00+00:00,2026-04-07 09:45:00+00:00,204.97,204.5500030517578,136,-57.11958496093735,1.75
2026-04-07,WIPRO.NS,2026-04-07 09:45:00+00:00,2026-04-07 09:55:00+00:00,205.06,204.5200042724609,88,-47.5196240234377,1.75
2026-04-10,WIPRO.NS,2026-04-10 09:35:00+00:00,2026-04-10 09:55:00+00:00,205.2,204.6999969482422,99,-49.50030212402231,1.75
2026-04-10,HINDALCO.NS,2026-04-10 09:35:00+00:00,2026-04-10 09:50:00+00:00,993.3,991.1500244140624,18,-38.69956054687418,1.75
2026-04-08,INFY.NS,2026-04-08 09:40:00+00:00,2026-04-08 09:50:00+00:00,1348.67,1346.0,15,-40.05000000000109,1.75
2026-04-07,TECHM.NS,2026-04-07 09:40:00+00:00,2026-04-07 09:50:00+00:00,1475.54,1472.699951171875,14,-39.76068359374949,1.75
2026-04-07,WIPRO.NS,2026-04-07 09:35:00+00:00,2026-04-07 09:45:00+00:00,204.97,204.5500030517578,136,-57.11958496093735,1.75
2026-04-07,WIPRO.NS,2026-04-07 09:45:00+00:00,2026-04-07 09:55:00+00:00,205.06,204.5200042724609,88,-47.5196240234377,1.75
2026-04-10,WIPRO.NS,2026-04-10 09:35:00+00:00,2026-04-10 09:55:00+00:00,205.2,204.6999969482422,99,-49.50030212402231,1.75
2026-04-08,INFY.NS,2026-04-08 09:40:00+00:00,2026-04-08 09:50:00+00:00,1348.67,1346.0,15,-40.05000000000109,1.75
2026-04-17,TECHM.NS,2026-04-17 09:40:00+00:00,2026-04-17 09:55:00+00:00,1513.96,1510.4000244140625,10,-35.599755859375364,1.75
2026-04-17,TRENT.NS,2026-04-17 09:40:00+00:00,2026-04-17 09:50:00+00:00,4112.05,4108.0,15,-60.75000000000273,1.75
2026-04-08,INFY.NS,2026-04-08 09:40:00+00:00,2026-04-08 09:50:00+00:00,1348.67,1346.0,15,-40.05000000000109,1.75
2026-04-17,TECHM.NS,2026-04-17 09:40:00+00:00,2026-04-17 09:55:00+00:00,1513.96,1510.4000244140625,10,-35.599755859375364,1.75
2026-04-17,TRENT.NS,2026-04-17 09:40:00+00:00,2026-04-17 09:50:00+00:00,4112.05,4108.0,15,-60.75000000000273,1.75
2026-04-17,BEL.NS,2026-04-17 09:35:00+00:00,2026-04-17 09:50:00+00:00,463.78,462.7000122070313,35,-37.799572753905295,1.75
2026-04-17,BEL.NS,2026-04-17 09:50:00+00:00,2026-04-20 03:45:00+00:00,463.51,462.7000122070313,85,-68.84896240234298,1.75
